year,jvndb_id,title,description,published_date,cvss_score,cvss_severity,cve_ids,affected_products,link
2025,JVNDB-2025-021140,Google の Google Chrome におけるスプーフィングによる認証回避に関する脆弱性,Google の Google Chrome には、スプーフィングによる認証回避に関する脆弱性が存在します。 ,2025-12-08 00:37:44+00:00,4.4,Medium,CVE-2025-13634,Google:Google Chrome,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021140.html
2025,JVNDB-2025-000116,ＧＳユアサ製FULLBACK Manager Proにおける引用符で囲まれていないファイルパスの脆弱性,株式会社 ＧＳユアサが提供するFULLBACK Manager Proには、次の脆弱性が存在します。 <ul><li>引用符で囲まれていない検索パス（CWE-428）- CVE-2025-66461</li></ul> この脆弱性情報は、情報セキュリティ早期警戒パートナーシップに基づき下記の方がIPAに報告し、JPCERT/CCが開発者との調整を行いました。 報告者：GMOサイバーセキュリティ byイエラエ株式会社 松本 一真 氏 ,2025-12-08 03:09:55+00:00,6.7,Medium,CVE-2025-66461,株式会社 ＧＳユアサ:FULLBACK Manager Pro; 株式会社 ＧＳユアサ:FULLBACK Manager Pro for Network,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-000116.html
2025,JVNDB-2025-021142,Linux の Linux Kernel 等複数ベンダの製品におけるゼロ除算に関する脆弱性,Linux の Linux Kernel 等複数ベンダの製品には、ゼロ除算に関する脆弱性が存在します。 ,2025-12-08 04:45:42+00:00,5.5,Medium,CVE-2025-37766,Debian:Debian GNU/Linux; Linux:Linux Kernel,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021142.html
2025,JVNDB-2025-021143,Advantech 製 iView における SQL インジェクションの脆弱性,Advantech が提供する iView には、次の脆弱性が存在します。<ul><li>SQL インジェクション (CWE-89) - CVE-2025-13373</li></ul> ,2025-12-08 04:46:08+00:00,,,CVE-2025-13373,アドバンテック株式会社:iView,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021143.html
2025,JVNDB-2025-021144,Linux の Linux Kernel 等複数ベンダの製品における NULL ポインタデリファレンスに関する脆弱性,Linux の Linux Kernel 等複数ベンダの製品には、NULL ポインタデリファレンスに関する脆弱性が存在します。 ,2025-12-08 04:46:55+00:00,5.5,Medium,CVE-2025-37772,Debian:Debian GNU/Linux; Linux:Linux Kernel,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021144.html
2025,JVNDB-2025-021145,Linux の Linux Kernel における脆弱性,Linux の Linux Kernel には、不特定の脆弱性が存在します。 ,2025-12-08 04:47:49+00:00,5.5,Medium,CVE-2025-37747,Linux:Linux Kernel,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021145.html
2025,JVNDB-2025-021146,Google の Google Chrome における不正な型変換に関する脆弱性,Google の Google Chrome には、不正な型変換に関する脆弱性が存在します。 ,2025-12-08 05:15:06+00:00,8.8,High,CVE-2025-13720,Google:Google Chrome,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021146.html
2025,JVNDB-2025-021147,Google の Google Chrome における解放済みメモリの使用に関する脆弱性,Google の Google Chrome には、解放済みメモリの使用に関する脆弱性が存在します。 ,2025-12-08 05:15:09+00:00,8.8,High,CVE-2025-13638,Google:Google Chrome,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021147.html
2025,JVNDB-2025-021148,Google の Google Chrome におけるスプーフィングによる認証回避に関する脆弱性,Google の Google Chrome には、スプーフィングによる認証回避に関する脆弱性が存在します。 ,2025-12-08 05:15:11+00:00,4.4,Medium,CVE-2025-13635,Google:Google Chrome,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021148.html
2025,JVNDB-2025-021149,Google の Google Chrome における予期しない符号拡張に関する脆弱性,Google の Google Chrome には、予期しない符号拡張に関する脆弱性が存在します。 ,2025-12-08 05:15:14+00:00,5.4,Medium,CVE-2025-13632,Google:Google Chrome,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021149.html
2025,JVNDB-2025-021150,Google の Google Chrome における型の取り違えに関する脆弱性,Google の Google Chrome には、型の取り違えに関する脆弱性が存在します。 ,2025-12-08 05:15:17+00:00,8.8,High,CVE-2025-13630,Google:Google Chrome,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021150.html
2025,JVNDB-2025-021152,SolisCloud 製 Monitoring Platform におけるユーザ識別情報操作による権限チェック回避の脆弱性,SolisCloud が提供する Monitoring Platform には、次の脆弱性が存在します。<ul><li>ユーザ識別情報操作による権限チェック回避 (CWE-639) - CVE-2025-13932</li></ul> ,2025-12-08 05:32:20+00:00,,,CVE-2025-13932,SolisCloud:Monitoring Platform,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021152.html
2025,JVNDB-2025-021153,Elula Tech Private Limited の WordPress 用 ELEX WordPress HelpDesk & Customer Ticketing System における権限管理に関する脆弱性,Elula Tech Private Limited の WordPress 用 ELEX WordPress HelpDesk & Customer Ticketing System には、権限管理に関する脆弱性が存在します。,2025-12-08 06:42:06+00:00,8.8,High,CVE-2025-13534,Elula Tech Private Limited:ELEX WordPress HelpDesk & Customer Ticketing System,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021153.html
2025,JVNDB-2025-021154,wolfSSL Inc. の wolfSSL における観測可能な不一致に関する脆弱性,wolfSSL Inc. の wolfSSL には、観測可能な不一致に関する脆弱性が存在します。,2025-12-08 06:42:09+00:00,4.3,Medium,CVE-2025-11932,wolfSSL Inc.:wolfSSL,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021154.html
2025,JVNDB-2025-021155,MongoDB Inc. の Mongodb 用 Rust Driver における証明書検証に関する脆弱性,MongoDB Inc. の Mongodb 用 Rust Driver には、証明書検証に関する脆弱性が存在します。,2025-12-08 06:42:11+00:00,7.5,High,CVE-2025-11695,MongoDB Inc.:Rust Driver,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021155.html
2025,JVNDB-2025-021156,"ThemeAtelier の WordPress 用 IDonate - Blood Donation, Request And Donor Management System におけるクロスサイトリクエストフォージェリの脆弱性","ThemeAtelier の WordPress 用 IDonate - Blood Donation, Request And Donor Management System には、クロスサイトリクエストフォージェリの脆弱性が存在します。",2025-12-08 06:42:14+00:00,5.4,Medium,CVE-2025-11154,"ThemeAtelier:IDonate - Blood Donation, Request And Donor Management System",https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021156.html
2025,JVNDB-2025-021157,複数の WSO2 製品における危険なタイプのファイルの無制限アップロードに関する脆弱性,WSO2 API Control Plane、WSO2 API Manager、WSO2 Enterprise Integrator 等複数の WSO2 製品には、危険なタイプのファイルの無制限アップロードに関する脆弱性が存在します。,2025-12-08 06:42:16+00:00,7.2,High,CVE-2025-10907,WSO2:Identity Server as Key Manager; WSO2:WSO2 API Control Plane; WSO2:WSO2 API Manager; WSO2:WSO2 Enterprise Integrator; WSO2:WSO2 Identity Server; WSO2:WSO2 Open Banking AM; WSO2:WSO2 Open Banking IAM; WSO2:WSO2 Traffic Manager; WSO2:WSO2 Universal Gateway,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021157.html
